ID,V1,V2,V3,V4,V5,V6,V7
01,"Afonso Claudio",3764,205,33,94.0,6.4,5.0
02,"Agua Doce do Norte",1781,106,12,98.7,6.1,4.2
03,"Aguia Branca",1335,114,10,97.8,6.8,4.7
04,"Alegre",3406,220,26,97.6,5.8,4.2
05,"Alfredo Chaves",1706,134,22,98.6,6.3,5.1
06,"Alto Rio Novo",1154,61,9,97.3,6.3,5.3
07,"Anchieta",3945,303,31,99.1,6,4.6
08,"Apiaca",826,63,7,96.9,4.9,3.9
09,"Aracruz",13625,667,44,98.4,6.4,5
10,"Atilio Vivacqua",1417,97,11,97.6,5.6,4.7
11,"Baixo Guandu",3582,229,35,97.2,5.8,4.4
12,"Barra de Sao Francisco",5534,342,38,96.2,5.9,3.9
13,"Boa Esperanca",2062,137,8,97.5,5.9,5
14,"Bom Jesus do Norte",838,62,8,98.8,5.5,3.7
15,"Brejetuba",2115,137,14,97.4,6.2,5.1
16,"Cachoeiro de Itapemirim",23829,1147,75,97.2,5.7,4.6
17,"Cariacica",52042,2545,126,94.8,5.4,4
18,"Castelo",4079,301,19,97.8,6.4,5.0
19,"Colatina",13860,729,86,98.6,6,4.9
20,"Conceicao da Barra",4244,239,22,98.3,6,4.4
21,"Conceicao do Castelo",1564,122,10,98.1,5.8,5
22,"Divino de Sao Lourenco",606,42,3,97.8,4.9,4.9
23,"Domingos Martins",4862,337,43,96.5,6.4,5.7
24,"Dores do Rio Preto",1018,70,6,94.1,5.4,4.7
25,"Ecoporanga",2964,182,22,98,5.8,5
26,"Fundao",2424,130,9,98.7,5.4,3.7
27,"Governador Lindenberg",1372,83,20,97.6,6.2,5.3
28,"Guacui",3559,214,13,96.9,5.2,4.1
29,"Guarapari",16914,812,60,96.2,5.8,4.2
30,"Ibatiba",3443,162,13,97.3,5.5,4.8
31,"Ibiracu",1583,109,9,97.7,6,4.4
32,"Ibitirama",1587,99,6,96.4,5,4.6
33,"Iconha",1432,80,10,98.8,6.6,5.1
34,"Irupi",1738,91,10,96.3,5.8,4.6
35,"Itaguacu",1545,95,11,98.7,6.4,5.5
36,"Itapemirim",5943,367,36,97.6,5.6,4.3
37,"Itarana",1102,72,11,97.0,6.5,4.7
38,"Iuna",4169,262,23,97.4,5.4,4.3
39,"Jaguare",4385,273,32,96.9,5.7,4.3
40,"Jeronimo Monteiro",1452,77,6,98.5,5.8,4.5
41,"Joao Neiva",1855,102,10,98.7,6.2,5.4
42,"Laranja da Terra",1198,82,15,97.5,5.9,5.3
43,"Linhares",23072,1131,80,97.7,5.6,4.5
44,"Mantenopolis",1765,100,14,99.2,6.7,5.3
45,"Marataizes",5684,420,21,98,5.7,4.3
46,"Marechal Floriano",2346,144,14,98.5,6.7,5.7
47,"Marilandia",1493,100,21,97.7,6.5,5.6
48,"Mimoso do Sul",2966,175,20,97.2,5.8,4.2
49,"Montanha",2786,166,18,98.8,5.5,4.1
50,"Mucurici",713,43,5,98.9,6.2,4.6
51,"Muniz Freire",2449,156,17,96.7,5.8,4.9
52,"Muqui",1792,112,12,97.7,5.6,3.7
53,"Nova Venecia",5980,422,52,98,6.2,5.3
54,"Pancas",2256,141,32,97.2,5.7,4.7
55,"Pedro Canario",3317,170,13,97.5,5.7,4.2
56,"Pinheiros",3660,201,19,97.4,5.9,4.6
57,"Piuma",2849,186,10,98.4,5.4,4.5
58,"Ponto Belo",956,62,6,98.7,5.8,4.4
59,"Presidente Kennedy",1823,149,15,97.1,5.9,4.0
60,"Rio Bananal",2522,155,24,95.4,5.9,4.8
61,"Rio Novo do Sul",1396,100,14,97.8,6.1,5.0
62,"Santa Leopoldina",1318,78,19,93.6,5.8,4.6
63,"Santa Maria de Jetiba",5303,332,42,95.9,6.3,4.8
64,"Santa Teresa",2781,183,18,98.2,6.1,4.1
65,"Sao Domingos do Norte",1183,94,18,93.7,5.8,4.4
66,"Sao Gabriel da Palha",3871,212,32,96.5,6.3,4.7
67,"Sao Jose do Calcado",1176,69,8,97.1,5.4,4.1
68,"Sao Mateus",16936,963,93,97.3,5.5,4.3
69,"Sao Roque do Canaa",1277,77,6,99.3,6.5,5.5
70,"Serra",68359,3277,131,96.9,5.6,4.1
71,"Sooretama",4278,197,14,95.1,5.8,4.4
72,"Vargem Alta",2735,152,19,98.3,6,4.4
73,"Venda Nova do Imigrante",2963,176,8,98.9,6.3,5.5
74,"Viana",9630,526,28,94.8,5.3,4.1
75,"Vila Pavao",1196,85,23,97.3,6.8,5.6
76,"Vila Valerio",1897,111,19,96.9,6.6,5.2
77,"Vila Velha",56107,2956,126,96.8,5.6,4.4
78,"Vitoria",39365,2411,86,97.6,5.6,4.3
